Timestamp,Name,Symbol,Price ($),24h Change (%),Market Cap ($)
2026-06-16 16:32:27,Bitcoin,BTC,66490.0,0.9392,1332337899519
2026-06-16 16:32:27,Ethereum,ETH,1793.99,3.39368,216403548286
2026-06-16 16:32:27,Tether,USDT,0.999293,-0.00511,186419047032
2026-06-16 16:32:27,BNB,BNB,613.55,-0.53902,82679152834
2026-06-16 16:32:27,XRP,XRP,1.24,3.47969,76858710085
2026-06-16 16:32:27,USDC,USDC,0.999763,-0.00355,74994298662
2026-06-16 16:32:27,Solana,SOL,74.72,4.18957,43328077585
2026-06-16 16:32:27,TRON,TRX,0.317594,-0.70322,30118931591
2026-06-16 16:32:27,Figure Heloc,FIGR_HELOC,1.027,1.27011,19330310285
2026-06-16 16:32:27,Hyperliquid,HYPE,75.68,11.52568,16854253249
